id,text,aspect_category,aspect_span,opinion_span,stance,evidence_span
137,"Government funding decisions reveal what a community truly prioritizes, and investing in housing and prevention can reduce long-term costs.",Policy & Governance,Government decisions,prioritizes,Hopeful,"Government funding decisions reveal what a community truly prioritizes, and investing in housing and prevention can reduce long-term costs."
138,Transparent leadership builds trust and increases public support for humane housing policies.,Policy & Governance,leadership,transparent,Hopeful,Transparent leadership builds trust and increases public support for humane housing policies.
139,Community voices should be included in policymaking so solutions reflect both residents’ concerns and homeless individuals’ needs.,Policy & Governance,policymaking,solutions,Hopeful,Community voices should be included in policymaking so solutions reflect both residents’ concerns and homeless individuals’ needs.
140,Enforcement policies should never ignore the human realities behind homelessness.,Policy & Governance,Enforcement policies,ignore,Neutral,policies should never ignore the human realities 
141,Strict enforcement without accessible services often pushes people from one neighborhood to another without improving their situation.,Policy & Governance,Strict enforcement ,pushes,Hate,enforcement without accessible services often pushes people from one neighborhood to another 
142,"Stable employment gives people experiencing homelessness a sense of independence, purpose, and financial security.",Employment &Economy,employment,gives,Hopeful,"employment gives a sense of independence,purpose and financial security"
143,Job training programs provide skills that empower people to compete in the workforce and regain confidence.,Employment &Economy,Job training,empower,Hopeful,Job training programs provide skills that empower people to compete in the workforce
144,"Although enforcement is intended to solve homelessness, without services it often ends up making the problem worse.",Policy & Governance,enforcement ,worse,Neutral,without services enforcement often ends up making the problem worse
145,Second-chance hiring initiatives allow people with difficult pasts to prove themselves and rebuild their futures.,Employment &Economy,hiring,Second-chance,Hopeful,Second-chance hiring initiatives allow homeless to prove themselves
146,Employment programs that understand trauma and instability are more successful in supporting homeless individuals,Employment &Economy,Employment programs,successful,Hopeful,Employment programs that understand trauma and instability are more successful in supporting homeless individuals
